OBJECTID,lon,lat,StaType,DateModif,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationName,StationFacilityName,StationAliases,x,y
77,-72.444597,43.13654,Station Building (with waiting room),2017-11-06T07:04:30,TRAIN,05101,VT,Bellows Falls, ,54 Depot Street, ,BLF,"Bellows Falls, VT", , ,-72.4445980935739,43.136548773028
78,-80.424583,37.232013,Curbside Bus Stop only (no shelter),2024-09-02T07:00:00,BUS,24061,VA,Blacksburg, ,250 Perry St,Virginia Tech,BLK,"Blacksburg, VA",Virginia Tech,Virginia Tech,-80.4245862319465,37.2320203166247
79,-79.219778,40.444688,Curbside Bus Stop only (no shelter),2018-07-19T07:04:40,BUS,15717,PA,Blairsville, ,1601 Old William Penn Highway, ,BLS,"Blairsville, PA", , ,-79.2197810765845,40.4446960030042
80,-73.214168,44.480327,Station Building (with waiting room),2021-10-21T07:04:21,BUS,05446,VT,Burlington, ,125 Pearl Street,Downtown Transit Center,BLT,"Burlington, VT",Downtown Transit Center, ,-73.214169439881,44.4803359890763
81,-94.127367,30.076458,Platform with Shelter,2017-11-06T07:04:31,TRAIN,77704,TX,Beaumont, ,2555 West Cedar Street, ,BMT,"Beaumont, TX", , ,-94.1273736964771,30.0764633046767
82,-79.434531,36.094225,Station Building (with waiting room),2017-11-06T07:04:31,TRAIN,27217,NC,Burlington, ,101 North Main Street, ,BNC,"Burlington, NC", , ,-79.4345338663219,36.094232116932
83,-121.301266,44.05822,Station Building (with waiting room),2024-05-29T07:07:56,BUS,97701,OR,Bend, ,334 Hawthorne Avenue, ,BND,"Bend, OR", , ,-121.301279977791,44.0582255104978
84,-72.81635,41.274677,Station Building (with waiting room),2024-08-22T10:54:58,TRAIN,06405,CT,Branford, ,39 Maple Street, ,BNF,"Branford, CT", , ,-72.8163510993153,41.2746854073172
85,-121.46873,45.71502,Platform with Shelter,2017-11-06T07:04:31,TRAIN,98605,WA,Bingen, ,Highway 14 and Walnut Street, ,BNG,"Bingen-White Salmon, WA", ,"White Salmon,Hood River,Dalles,The Dalles",-121.468744330773,45.7150256007008
86,-73.19324,42.878777,Curbside Bus Stop only (no shelter),2019-03-18T07:03:26,BUS,05201,VT,Bennington, ,215 Pleasant Street,Green Mountain Express Bus Term,BNI,"Bennington, VT",Green Mountain Express Bus Term, ,-73.1932413222315,42.8787856988897
87,-88.984306,40.50901,Station Building (with waiting room),2018-09-29T07:04:39,TRAIN,61761,IL,Normal, ,11 Uptown Circle, ,BNL,"Bloomington-Normal, IL", , ,-88.9843120114106,40.5090175418661
88,-119.064431,43.583713,Curbside Bus Stop only (no shelter),2018-06-14T07:04:19,BUS,97720,OR,Burns, ,230 Hines Boulevard, ,BNS,"Burns, OR", , ,-119.064444519548,43.5837186883047
89,-71.061122,42.366235,Station Building (with waiting room),2018-12-13T07:03:25,TRAIN,02114,MA,Boston, ,135 Causeway Street,North Station,BON,"Boston, MA",North Station,North Station,-71.0611225916422,42.3662436747389
90,-71.055304,42.352311,Station Building (with waiting room),2020-10-27T07:03:54,TRAIN,02110,MA,Boston, ,2 South Station,South Station,BOS,"Boston, MA",South Station,South Station,-71.0553045889242,42.3523196722564
91,-72.556497,42.850849,Station Building (with waiting room),2017-11-06T07:04:32,TRAIN,05301,VT,Brattleboro, ,10 Vernon Road, ,BRA,"Brattleboro, VT", , ,-72.5564981122609,42.8508577159558
92,-89.773676,43.459349,Curbside Bus Stop only (no shelter),2022-03-16T07:04:11,BUS,53913,WI,Baraboo, ,Commerce Parkway & Gateway Drive, ,BRB,"Baraboo, WI", , ,-89.7736825490748,43.4593569898666
93,-90.44107,31.582961,Station Building (with waiting room),2018-09-14T07:04:41,TRAIN,39601,MS,Brookhaven, ,440 North Railroad Avenue, ,BRH,"Brookhaven, MS", , ,-90.4410757878561,31.5829667502697
94,-69.965541,43.911388,Station Building (with waiting room),2018-06-14T07:04:19,TRAIN,04011,ME,Brunswick, ,16 Station Avenue, ,BRK,"Brunswick, ME", , ,-69.965541319837,43.9113969970367
95,-91.101951,40.805788,Station Building (with waiting room),2017-11-06T07:04:32,TRAIN,52601,IA,Burlington, ,300 South Main Street, ,BRL,"Burlington, IA", , ,-91.1019576439959,40.805795473898
96,-113.013151,48.534067,Platform with Shelter,2017-11-06T07:04:32,TRAIN,59417,MT,Browning, ,Heart Butte Road and Depot Road, ,BRO,"Browning, MT", ,"glacier,east glacier",-113.013164378939,48.5340736767166
97,-73.187539,41.178006,Station Building (with waiting room),2018-09-14T07:04:41,TRAIN,06604,CT,Bridgeport, ,525 Water Street, ,BRP,"Bridgeport, CT", , ,-73.1875402136882,41.1780143757262
98,-85.187825,42.318453,Station Building (with waiting room),2017-11-06T07:04:33,TRAIN,49017,MI,Battle Creek, ,119 McCamly Street South, ,BTL,"Battle Creek, MI", , ,-85.1878300639245,42.3184610624355
99,-73.21927,44.4757,Station Building (with waiting room),2022-11-21T10:50:00,TRAIN,05401,VT,Burlington, ,1 Main Street,Union Station,BTN,"Burlington, VT",Union Station, ,-73.2192714413001,44.4757089878582
100,-91.176374,30.449741,Station Building (with waiting room),2025-07-22T02:07:19,BUS,70802,LA,Baton Rouge, ,1253 Florida Boulevard, ,BTR,"Baton Rouge, LA", , ,-91.1763799328598,30.4497464838447
101,-73.15546,44.469865,Station Building (with waiting room),2022-05-14T07:04:10,BUS,05403,VT,South Burlington, ,1200 Airport Drive,Burlington International Airport,BTV,"South Burlington, VT",Burlington International Airport,Burlington,-73.155461419808,44.4698739895575
102,-78.726584,42.907017,Station Building (with waiting room),2019-02-14T07:03:19,TRAIN,14043,NY,Depew, ,55 Dick Road,Depew Station,BUF,"Buffalo, NY",Depew Station,Depew,-78.7265871111005,42.9070254822843
103,-120.186595,34.61066,Curbside Bus Stop only (no shelter),2018-09-21T07:04:41,BUS,93427,CA,Buellton, ,237 East Highway 246, ,BUL,"Buellton, CA", , ,-120.186607551464,34.610664802566
104,-118.353767,34.193072,Platform with Shelter,2018-09-15T07:04:40,TRAIN,91505,CA,Burbank, ,3750 Empire Avenue,Hollywood Burbank Airport,BUR,"Burbank, CA",Hollywood Burbank Airport,Hollywood,-118.353779217036,34.19307686512
105,-106.131059,38.842897,Curbside Bus Stop only (no shelter),2021-11-24T07:04:16,BUS,81211,CO,Buena Vista, ,117 N Railroad St., ,BUV,"Buena Vista, CO", , ,-106.131069267466,38.8429032176967
106,-121.803189,43.134572,Platform only (no shelter),2021-06-29T07:04:16,BUS,97731,OR,Beaver Marsh, ,100350 Highway 97, ,BVM,"Beaver Marsh, OR", , ,-121.803202890857,43.1345774001832
107,-122.78217,45.510223,Curbside Bus Stop only (no shelter),2018-09-27T07:04:41,BUS,97225,OR,Beaverton, ,10470 Southwest Barnes Road, ,BVT,"Beaverton, OR", , ,-122.782184496175,45.5102284537954
108,-76.6943,39.192362,Station Building (with waiting room),2018-05-26T07:04:17,TRAIN,21240,MD,Baltimore, ,7 Amtrak Way, ,BWI,"BWI Marshall Airport, MD", ,"Baltimore,bwi airport",-76.6943022058441,39.1923698574059
109,-84.551799,41.480319,Station Building (with waiting room),2017-11-06T07:04:34,TRAIN,43506,OH,Bryan, ,Paige and Lynn Street, ,BYN,"Bryan, OH", , ,-84.5518037939923,41.4803269479015
110,-80.62519,34.248157,Station Building (with waiting room),2017-11-06T07:04:34,TRAIN,29020,SC,Camden, ,1060 West Dekalb Street, ,CAM,"Camden, SC", , ,-80.625193126039,34.2481636776695
111,-71.126573,43.978298,Curbside Bus Stop only (no shelter),2018-09-27T07:04:41,BUS,03818,NH,Conway, ,13 West Main Street, ,CAY,"Conway, NH", , ,-71.1265737111908,43.9783069722728
112,-106.980905,38.870357,Curbside Bus Stop only (no shelter),2022-09-02T07:04:42,BUS,81224,CO,Crested Butte, ,306 6th Street, ,CBC,"Crested Butte, CO", , ,-106.980915459951,38.8703631634931
113,-123.961842,45.889496,Curbside Bus Stop only (no shelter),2018-09-27T07:04:41,BUS,97110,OR,Cannon Beach, ,1170 South Hemlock Street, ,CBO,"Cannon Beach, OR", , ,-123.961856755401,45.8895013519667
114,-97.382333,32.349743,Platform with Shelter,2019-04-26T07:03:15,TRAIN,76031,TX,Cleburne, ,206 North Border Street, ,CBR,"Cleburne, TX", , ,-97.382340646271,32.3497486306683
115,-89.012609,43.340611,Station Building (with waiting room),2017-11-06T07:04:34,TRAIN,53925,WI,Columbus, ,359 North Ludington Street, ,CBS,"Columbus, WI", , ,-89.0126153119157,43.340619017281
116,-124.217366,43.367107,Curbside Bus Stop only (no shelter),2023-09-21T07:00:00,BUS,97420,OR,Coos Bay, ,525 Anderson Avenue, ,CBY,"Coos Bay, OR", , ,-124.217380296673,43.3671121862355
117,-116.798713,33.921492,Curbside Bus Stop only (no shelter),2019-01-12T07:03:23,BUS,92230,CA,Cabazon, ,49500 Seminole Drive, ,CBZ,"Cabazon, CA", , ,-116.798724929001,33.9214969225783
118,-76.048392,38.561752,Curbside Bus Stop only (no shelter),2018-09-27T07:04:41,BUS,21613,MD,Cambridge, ,100 Heron Boulevard, ,CDE,"Cambridge, MD", , ,-76.0483939665266,38.5617597532883
119,-89.216325,37.724581,Station Building (with waiting room),2025-04-26T07:03:51,TRAIN,62901,IL,Carbondale, ,401 South Illinois Avenue, ,CDL,"Carbondale, IL", , ,-89.2163308386253,37.7245880250551
120,-69.078634,44.199095,Curbside Bus Stop only (no shelter),2018-09-26T07:04:43,BUS,04856,ME,Rockport, ,20 Commercial Street, ,CDN,"Camden-Rockport, ME", , ,-69.0786340388529,44.1991040763764
121,-85.570486,43.219603,Curbside Bus Stop only (no shelter),2022-08-15T07:04:38,BUS,49319,MI,Cedar Springs, ,4010 17 Mile Road, ,CDS,"Cedar Springs, MI", , ,-85.5704912699402,43.2196111956032
122,-89.136118,38.527531,Station Building (with waiting room),2018-09-28T07:04:40,TRAIN,62801,IL,Centralia, ,110 South Oak St., ,CEN,"Centralia, IL", , ,-89.1361238808287,38.5275381782335
123,-78.43533,41.021095,Station Building (with waiting room),2018-07-20T07:04:38,BUS,16830,PA,Clearfield, ,314 East Cherry Street, ,CFD,"Clearfield, PA", , ,-78.4353328736893,41.0211031456758
124,-117.365156,46.875679,Curbside Bus Stop only (no shelter),2018-09-27T07:04:41,BUS,99111,WA,Colfax, ,610 South Main St., ,CFX,"Colfax, WA", , ,-117.365169865558,46.8756850999689
125,-119.699676,37.261897,Curbside Bus Stop only (no shelter),2018-02-18T07:04:24,BUS,93614,CA,Coarsegold, ,35305 Highway 41, ,CGD,"Coarsegold, CA", , ,-119.699688733261,37.2619020933462
